"Service Request Description","Department","Method Received","Created Date","Block/Address","Street","Ward","Sub-Type"
"Garbage Not Collected","Environmental Services","Phone","APR 29, 2020 10:17:50 AM","31##","GRAND MARAIS","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","APR 30, 2020 09:30:48 AM","9##","CHATEAU","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","APR 30, 2020 09:45:47 AM","10##","HOMEDALE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","APR 30, 2020 11:27:48 AM","4##","ST PAUL","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","APR 30, 2020 11:53:15 AM","28##","LLOYD GEORGE","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 24, 2020 12:24:56 PM","14##","SPRUCEWOOD","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 24, 2020 01:52:14 PM","24##","ASKIN","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 24, 2020 08:44:58 AM","27##","PARENT","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 26, 2020 09:55:10 AM","12##","DOUGALL","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 23, 2020 09:16:15 AM","10##","CALIFORNIA","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 23, 2020 10:08:26 AM","7##","NEWPORT","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 23, 2020 02:21:14 PM","13##","VICTORIA","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 23, 2020 03:02:29 PM","14##","SPRUCEWOOD","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 23, 2020 03:03:18 PM","11##","LENA","WARD 2"," "
"Garbage Not Collected","Environmental Services","Phone","APR 14, 2020 03:01:36 PM","3##","WYANDOTTE","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","APR 07, 2020 03:12:43 PM","7##","BRANT","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 28, 2020 09:57:01 AM","39##","CASGRAIN","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","APR 29, 2020 09:23:37 AM","25##","ALEXIS","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 20, 2020 08:41:24 AM","16##","SOUTHDALE","WARD 10"," "
"Garbage Not Collected","Environmental Services","Web Intake","MAR 31, 2020 10:03:05 AM"," "," ","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 03, 2020 11:08:18 AM","18##","DOMINION","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 04, 2020 11:32:47 AM","45##","TUMBLEWEED","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 05, 2020 12:57:24 PM","45##","TIMBER","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 05, 2020 02:44:51 PM","13##","HALLMARK","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 05, 2020 03:05:33 PM","32##","CONSERVATION","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 03, 2020 12:57:10 PM","23##","ROSSINI","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 03, 2020 01:03:55 PM","17##","DAYTONA","WARD 10"," "
